x_m,y_m,elevation_m,x_sim,y_sim,z_sim
9.090292585788411088e+02,1.013116470074513927e+03,3.368207931518554688e+01,1.818058517157682275e+01,2.026232940149028039e+01,6.736415863037109597e-01
9.393090819044737145e+02,1.013080589856486768e+03,3.257162475585937500e+01,1.878618163808947372e+01,2.026161179712973492e+01,6.514324951171874822e-01
9.695889044336508960e+02,1.013044739231932908e+03,2.979282379150390625e+01,1.939177808867301778e+01,2.026089478463865845e+01,5.958564758300781694e-01
9.998687261656159535e+02,1.013008918201085180e+03,3.062550354003906250e+01,1.999737452331232035e+01,2.026017836402170502e+01,6.125100708007812367e-01
1.030148547099728603e+03,1.012973126763710752e+03,2.785856628417968750e+01,2.060297094199457391e+01,2.025946253527421703e+01,5.571713256835937322e-01
1.060428367240703665e+03,1.012937364920042455e+03,2.169074630737304688e+01,2.120856734481407457e+01,2.025874729840084854e+01,4.338149261474609220e-01
1.090708186585048679e+03,1.012901632669614628e+03,2.010244369506835938e+01,2.181416373170097245e+01,2.025803265339229142e+01,4.020488739013671764e-01
1.120988005134859122e+03,1.012865930012892932e+03,1.744235992431640625e+01,2.241976010269718245e+01,2.025731860025785736e+01,3.488471984863281139e-01
1.151267822889378294e+03,1.012830256949644536e+03,1.268780517578125000e+01,2.302535645778756646e+01,2.025660513899289228e+01,2.537561035156249978e-01
1.181547639853437431e+03,1.012794613480102271e+03,1.096882247924804688e+01,2.363095279706874763e+01,2.025589226960204670e+01,2.193764495849609419e-01
1.211827456023544073e+03,1.012758999603567645e+03,1.245119571685791016e+01,2.423654912047088317e+01,2.025517999207135489e+01,2.490239143371582031e-01
3.033956116642802954e+02,9.831244595847092569e+02,6.464015960693359375e+01,6.067912233285605694e+00,1.966248919169418485e+01,1.292803192138672008e+00
3.336754811059799977e+02,9.830879883174784482e+02,6.877320861816406250e+01,6.673509622119600415e+00,1.966175976634956868e+01,1.375464172363281223e+00
3.639553497352753766e+02,9.830515466432552785e+02,7.171784973144531250e+01,7.279106994705507816e+00,1.966103093286510628e+01,1.434356994628906312e+00
3.942352175556006841e+02,9.830151345615740865e+02,6.801548767089843750e+01,7.884704351112014287e+00,1.966030269123148244e+01,1.360309753417968670e+00
4.245150845661992207e+02,9.829787520733661950e+02,6.193587112426757812e+01,8.490301691323985267e+00,1.965957504146732404e+01,1.238717422485351660e+00
4.547949507677694783e+02,9.829423991781659424e+02,5.752747344970703125e+01,9.095899015355389139e+00,1.965884798356331942e+01,1.150549468994140678e+00
4.850748161609517410e+02,9.829060758757404983e+02,5.429335784912109375e+01,9.701496323219034323e+00,1.965812151751481096e+01,1.085867156982421866e+00
5.153546807464445010e+02,9.828697821663226932e+02,4.179051971435546875e+01,1.030709361492889009e+01,1.965739564332645273e+01,8.358103942871093484e-01
5.456345445248298347e+02,9.828335180496796966e+02,3.227642440795898438e+01,1.091269089049659691e+01,1.965667036099359422e+01,6.455284881591797363e-01
5.759144074953510426e+02,9.827972835260443389e+02,3.406030273437500000e+01,1.151828814990702021e+01,1.965594567052088593e+01,6.812060546875000622e-01
6.061942696629557759e+02,9.827610785954166204e+02,3.794663238525390625e+01,1.212388539325911552e+01,1.965522157190833141e+01,7.589326477050781783e-01
6.364741310240933672e+02,9.827249032577965409e+02,3.894914627075195312e+01,1.272948262048186763e+01,1.965449806515593068e+01,7.789829254150391069e-01
6.667539915794041008e+02,9.826887575127184391e+02,3.820436096191406250e+01,1.333507983158808230e+01,1.965377515025436850e+01,7.640872192382812678e-01
6.970338513322640210e+02,9.826526413613464683e+02,3.443752288818359375e+01,1.394067702664528063e+01,1.965305282722692937e+01,6.887504577636719416e-01
7.273137102820910513e+02,9.826165548025164753e+02,3.275428390502929688e+01,1.454627420564182216e+01,1.965233109605032880e+01,6.550856781005859331e-01
7.575935684293508530e+02,9.825804978364612907e+02,3.994989776611328125e+01,1.515187136858701678e+01,1.965160995672922795e+01,7.989979553222656961e-01
7.878734257749165408e+02,9.825444704636465758e+02,4.246181488037109375e+01,1.575746851549833139e+01,1.965088940927293137e+01,8.492362976074219194e-01
8.181532823192537762e+02,9.825084726833738387e+02,4.210076141357421875e+01,1.636306564638507410e+01,1.965016945366747692e+01,8.420152282714843395e-01
8.484331380617222749e+02,9.824725044963415712e+02,3.894793319702148438e+01,1.696866276123444450e+01,1.964945008992683029e+01,7.789586639404296742e-01
8.787129930058144964e+02,9.824365659020841122e+02,3.390658187866210938e+01,1.757425986011628893e+01,1.964873131804168338e+01,6.781316375732422408e-01
9.089928471520543098e+02,9.824006569008342922e+02,3.385011672973632812e+01,1.817985694304108790e+01,1.964801313801668670e+01,6.770023345947265847e-01
9.392727004970074631e+02,9.823647774925921112e+02,3.384116363525390625e+01,1.878545400994014969e+01,1.964729554985184379e+01,6.768232727050781383e-01
9.695525530455051921e+02,9.823289276768919080e+02,3.466971969604492188e+01,1.939105106091010455e+01,1.964657855353783944e+01,6.933943939208984109e-01
9.998324047968490049e+02,9.822931074544321746e+02,3.350753784179687500e+01,1.999664809593697967e+01,1.964586214908864292e+01,6.701507568359375000e-01
1.030112255750223994e+03,9.822573168245144188e+02,3.143454551696777344e+01,2.060224511500447875e+01,1.964514633649028852e+01,6.286909103393555354e-01
1.060392105910519604e+03,9.822215557876043022e+02,2.372668075561523438e+01,2.120784211821039378e+01,1.964443111575208789e+01,4.745336151123046853e-01
1.090671955274185166e+03,9.821858243439346552e+02,1.998927497863769531e+01,2.181343910548370246e+01,1.964371648687869509e+01,3.997854995727538885e-01
1.120951803843316156e+03,9.821501224928069860e+02,1.350138282775878906e+01,2.241903607686632327e+01,1.964300244985614086e+01,2.700276565551757990e-01
1.151231651617097668e+03,9.821144502344541252e+02,7.248590946197509766e+00,2.302463303234195280e+01,1.964228900468908279e+01,1.449718189239501964e-01
